,Page,Formatted_content,Processed_content,keywords
10,5,"sent or returned as an electronic image or as a substitute check, it is still considered a check.Debit card transaction:  Any purchase or bill payment using your debit card. A debit card transaction may be either an everyday (not recurring) purchase ","sent returned electronic image substitute check , still considered check.Debit card transaction : purchase bill payment using debit card . debit card transaction may either everyday ( recurring ) purchase","['debit card transaction', 'considered check debit', 'card debit', 'debit card debit', 'card debit card', 'debit card', 'check debit card', 'check debit', 'card transaction', 'using debit']"
11,5,"transaction or a recurring payment, such as a monthly bill.Direct deposit:  An automatic electronic deposit made through the ACH network to your account by someone else, such as an employer issuing payroll or a ","transaction recurring payment , monthly bill.Direct deposit : automatic electronic deposit made ACH network account someone else , employer issuing payroll","['electronic deposit ach', 'transaction recurring payment', 'automatic electronic deposit', 'electronic deposit', 'direct deposit automatic', 'deposit automatic electronic', 'recurring payment', 'deposit ach network', 'transaction recurring', 'direct deposit']"
12,5,"government paying bene ﬁts. Transaction (may also be referred to as item): Any check, ACH, funds transfer, online banking transaction, wire transfer, teller cash withdrawal, ATM withdrawal, ","government paying bene ﬁts . Transaction ( may also referred item ) : check , ACH , fund transfer , online banking transaction , wire transfer , teller cash withdrawal , ATM withdrawal ,","['government paying bene', 'paying bene ﬁts', 'paying bene', 'bene ﬁts transaction', 'government paying', 'banking transaction', 'wire transfer', 'fund transfer', 'cash withdrawal', 'banking']"
13,5,"debit card purchase, fee, charge or other instruction for an amount to be added to or subtracted from your balance, whether or not we pay or settle the transaction. Overdraft: The amount by which any transaction(s) would exceed the balance in your account either when it is authorized or presented for settlement during our ","debit card purchase , fee , charge instruction amount added subtracted balance , whether pay settle transaction . Overdraft : amount transaction ( ) would exceed balance account either authorized presented settlement","['transaction overdraft transaction', 'transaction overdraft', 'overdraft transaction', 'settle transaction overdraft', 'overdraft transaction exceed', 'debit card purchase', 'transaction exceed balance', 'pay settle transaction', 'debit card', 'settle transaction']"
14,5,nightly processing. If your account has a negative balance it is considered to be overdrawn. PIN:  A four-digit personal identi ﬁcation number that you either select or request from us for your debit or ATM card. Some merchants and all ATMs require a PIN ,nightly processing . account negative balance considered overdrawn . PIN : four-digit personal identi ﬁcation number either select request u debit ATM card . merchant ATMs require PIN,"['request debit atm', 'debit atm card', 'debit atm', 'atms require pin', 'atms require', 'atm card', 'merchant atms require', 'processing account negative', 'atm card merchant', 'merchant atms']"
15,5,"when you use a debit card.Present balance:  The total amount of money recorded in your account, including funds not yet available for you to use. This includes pending transactions, ","use debit card.Present balance : total amount money recorded account , including fund yet available use . includes pending transaction ,","['present balance', 'present balance total', 'card present balance', 'balance total money', 'debit card present', 'use debit', 'balance total', 'debit card', 'money recorded account', 'account including fund']"
16,5,"authorization holds that are not yet posted or deposits that have not yet been made available. You can ﬁnd this balance on receipts you receive at ATMs, from a ","authorization hold yet posted deposit yet made available . ﬁnd balance receipt receive ATMs ,","['posted deposit available', 'authorization hold posted', 'receipt receive atms', 'authorization hold', 'deposit available', 'deposit available ﬁnd', 'receive atms', 'hold posted deposit', 'posted deposit', 'balance receipt receive']"
17,5,"banker at a branch, on chase.com or Chase Mobile. II. Opening Your Account","banker branch , chase.com Chase Mobile . II . Opening Account","['branch chase com', 'banker branch chase', 'com chase mobile', 'chase mobile', 'chase com', 'branch chase', 'chase com chase', 'chase mobile ii', 'banker branch', 'opening account']"
18,5,A. Personal Accounts,. Personal Accounts,"['personal accounts', 'accounts', 'personal']"
19,5,"THE TYPE OF ACCOUNT OWNERSHIP MAY DETERMINE HOW YOUR FUNDS ARE PAID IF YOU DIE, EVEN IF YOUR WILL STATES OTHERWISE. PLEASE CONSULT YOUR ESTATE PLANNING ADVISOR OR ATTORNEY ABOUT YOUR CHOICES. If your account is a type listed under “Personal Accounts” in our product information, you agree not to use it for business purposes. Ownership of your account is ","TYPE ACCOUNT OWNERSHIP MAY DETERMINE FUNDS PAID DIE , EVEN STATES OTHERWISE . PLEASE CONSULT ESTATE PLANNING ADVISOR ATTORNEY CHOICES . account type listed “ Personal Accounts ” product information , agree use business purpose . Ownership account","['ownership determine funds', 'type account ownership', 'account ownership determine', 'funds paid die', 'ownership account', 'consult estate', 'states consult estate', 'account ownership', 'consult estate planning', 'purpose ownership account']"
20,5,"determined by the most current signature card. However, we are authorized to rely on the account ownership information contained in our deposit system unless we ","determined current signature card . However , authorized rely account ownership information contained deposit system unless","['signature card authorized', 'current signature card', 'card authorized rely', 'information contained deposit', 'account ownership information', 'authorized rely account', 'rely account ownership', 'current signature', 'signature card', 'contained deposit']"
21,5,"are noti ﬁed that the most current signature card and the deposit system contain different information. 1. Solely owned accountWhen only one individual is listed as the owner of an account, we will treat the account as a solely owned account. 2. Joint accounts","noti ﬁed current signature card deposit system contain different information . 1 . Solely owned accountWhen one individual listed owner account , treat account solely owned account . 2 . Joint account","['signature card deposit', 'card deposit contain', 'current signature card', 'signature card', 'card deposit', 'account joint account', 'current signature', 'joint account', 'account joint', 'account treat account']"
22,5,"When two or more people are listed as owners of a personal account, the account is a “joint account” and each owner is a “joint owner.”","two people listed owner personal account , account “ joint account ” owner “ joint owner . ”","['joint account owner', 'account owner joint', 'owner personal account', 'joint owner', 'account joint account', 'owner joint owner', 'people listed owner', 'account account joint', 'account joint', 'account owner']"
23,5,Each joint owner has complete control over all of the funds in the account. Return to Table of Contents,joint owner complete control fund account . Return Table Contents,"['account return table', 'joint owner complete', 'complete control fund', 'joint owner', 'control fund account', 'control fund', 'fund account return', 'owner complete control', 'return table', 'return table contents']"
24,6,"Effective 10/15/2023If your joint account becomes overdrawn, each joint owner is liable for the full amount the account is overdrawn, regardless of who initiated or bene ﬁted from the ","Effective 10/15/2023If joint account becomes overdrawn , joint owner liable full amount account overdrawn , regardless initiated bene ﬁted","['joint account overdrawn', '2023if joint account', 'liable account overdrawn', 'joint account', 'account overdrawn joint', 'liable account', 'overdrawn joint owner', 'joint owner liable', 'owner liable account', 'account overdrawn regardless']"
25,6,"activity that caused the overdraft. If one joint owner requests that we not pay transactions initiated by a different joint owner, we may block the account, but we are not required to do so. That means we ","activity caused overdraft . one joint owner request pay transaction initiated different joint owner , may block account , required . mean","['overdraft joint owner', 'activity caused overdraft', 'caused overdraft', 'overdraft joint', 'caused overdraft joint', 'joint owner block', 'joint owner request', 'overdraft', 'joint owner', 'different joint owner']"
26,6,"will refuse to pay all transactions, including transactions initiated by the owner making the request. If we block the account, we may not release the block unless all joint owners agree in writing to remove it. No request to block the account will affect transactions that we paid before the request. If we decide not to block the account, all joint owners remain responsible for transactions subtracted from the account. Any joint owner may close the account without the consent from any other joint owners. We may choose whether or not to act upon other instructions of any joint ","refuse pay transaction , including transaction initiated owner making request . block account , may release block unless joint owner agree writing remove . request block account affect transaction paid request . decide block account , joint owner remain responsible transaction subtracted account . joint owner may close account without consent joint owner . may choose whether act upon instruction joint","['block account joint', 'refuse pay transaction', 'responsible transaction subtracted', 'account consent joint', 'consent joint owner', 'joint owner agree', 'remain responsible transaction', 'account joint owner', 'responsible transaction', 'joint owner choose']"
27,6,"owners, including adding another owner to the account, without the authorization of the other joint owners. We may also pay all or any part of the funds in the joint ","owner , including adding another owner account , without authorization joint owner . may also pay part fund joint","['joint owner', 'authorization joint owner', 'joint owner pay', 'pay fund joint', 'account authorization joint', 'owner including adding', 'fund joint', 'owner account', 'owner pay fund', 'adding owner account']"
28,6,"account to a court or government agency if we receive a garnishment, levy or similar legal process that identi ﬁes any of the joint owners.   Joint account with rights of survivorship  ","account court government agency receive garnishment , levy similar legal process identi ﬁes joint owner . Joint account right survivorship","['agency receive garnishment', 'garnishment levy', 'receive garnishment', 'receive garnishment levy', 'garnishment levy similar', 'garnishment', 'account court government', 'account court', 'owner joint account', 'account right survivorship']"
29,6,"If a joint account has rights of survivorship, and one joint owner dies, the account ownership will be transferred to the surviving joint owners. The estate of the deceased owner will have no rights to the account. If there is more than one surviving joint owner, the account will continue as a joint account with rights of survivorship among the remaining owners. If an account is designated “JAWROS” or “JTWROS,” it has rights of survivorship.   Joint account with no right of survivorship (also called “tenants in common”)  ","joint account right survivorship , one joint owner dy , account ownership transferred surviving joint owner . estate deceased owner right account . one surviving joint owner , account continue joint account right survivorship among remaining owner . account designated “ JAWROS ” “ JTWROS , ” right survivorship . Joint account right survivorship ( also called “ tenant common ” )","['survivorship joint account', 'joint owner account', 'joint account right', 'account surviving joint', 'survivorship joint owner', 'account right survivorship', 'joint owner estate', 'surviving joint owner', 'right survivorship joint', 'joint account']"
30,6,"If a joint account does not have rights of survivorship, and one joint owner dies, that owner’s interest passes to the owner’s estate. Either the surviving joint owners or the deceased owner’s estate may withdraw the funds at any time, and we have no responsibility for determining the respective interests of the owners. If an account is designated “Tenants in common” or “JTIC,” it does not have rights of survivorship.   When survivorship rights apply  ","joint account right survivorship , one joint owner dy , owner ’ interest pass owner ’ estate . Either surviving joint owner deceased owner ’ estate may withdraw fund time , responsibility determining respective interest owner . account designated “ Tenants common ” “ JTIC , ” right survivorship . survivorship right apply","['joint account right', 'survivorship joint owner', 'joint account', 'account right survivorship', 'surviving joint owner', 'respective owner account', 'joint owner dy', 'joint owner', 'account designated tenants', 'survivorship joint']"
31,6,"Except as otherwise stated in this paragraph, a joint account has rights of survivorship unless you clearly indicate on the signature card and in the account title that the account is created without these rights. Accounts in Louisiana do not have rights of survivorship. Accounts in Texas do not have rights of survivorship unless you clearly indicate on the signature card and in the account title that the account is created with these rights.   If a joint account also contains a “payable on death” or “in trust for” designation, the account always includes a right of survivorship and is payable to the ","Except otherwise stated paragraph , joint account right survivorship unless clearly indicate signature card account title account created without right . Accounts Louisiana right survivorship . Accounts Texas right survivorship unless clearly indicate signature card account title account created right . joint account also contains “ payable death ” “ trust ” designation , account always includes right survivorship payable","['joint account right', 'account right survivorship', 'survivorship accounts texas', 'right joint account', 'right survivorship accounts', 'survivorship accounts', 'texas right survivorship', 'joint account contains', 'louisiana right survivorship', 'right survivorship payable']"
32,6,"bene ﬁciary only upon the death of the last surviving owner, except as stated in the paragraph below.   Marital account (Wisconsin only)  ","bene ﬁciary upon death last surviving owner , except stated paragraph . Marital account ( Wisconsin )","['marital account wisconsin', 'death surviving owner', 'surviving owner stated', 'paragraph marital account', 'marital account', 'surviving owner', 'bene ﬁciary death', 'owner stated paragraph', 'stated paragraph marital', 'paragraph marital']"
33,6,"If one owner of a marital account dies, the survivor is entitled to 50% of the account funds and the estate of the deceased is entitled to the other 50%. If a marital ","one owner marital account dy , survivor entitled 50 % account fund estate deceased entitled 50 % . marital","['owner marital account', 'account fund estate', 'marital account', 'marital account dy', 'estate deceased entitled', 'fund estate deceased', 'owner marital', 'fund estate', 'entitled 50 marital', 'deceased entitled 50']"
34,6,"account contains a payable on death designation, the POD bene ﬁciary is entitled to the deceased spouse’s 50% share. However, we have no responsibility to ","account contains payable death designation , POD bene ﬁciary entitled deceased spouse ’ 50 % share . However , responsibility","['entitled deceased spouse', 'ﬁciary entitled deceased', 'payable death designation', 'contains payable death', '50 share responsibility', 'payable death', 'spouse 50 share', 'deceased spouse 50', 'bene ﬁciary entitled', 'deceased spouse']"
35,6,determine the respective interests of the owner and the POD bene ﬁciary.   Tenants by the entirety (Florida only)  ,determine respective interest owner POD bene ﬁciary . Tenants entirety ( Florida ),"['tenants entirety florida', 'ﬁciary tenants entirety', 'tenants entirety', 'determine respective owner', 'ﬁciary tenants', 'respective owner', 'respective owner pod', 'bene ﬁciary tenants', 'tenants', 'entirety florida']"
36,6,A Florida joint account owned solely by two spouses is a “tenants by the entirety” account unless the signature card indicates otherwise. We are not required to determine whether an account is a tenants by the entirety account before responding to a garnishment or other legal process. We may assert our right of setoff or security interest in a tenants by the entirety account in order to collect debts of either owner. 3. “Payable on death” account,Florida joint account owned solely two spouse “ tenant entirety ” account unless signature card indicates otherwise . required determine whether account tenant entirety account responding garnishment legal process . may assert right setoff security interest tenant entirety account order collect debt either owner . 3 . “ Payable death ” account,"['florida joint account', 'joint account owned', 'spouse tenant entirety', 'account responding garnishment', 'joint account', 'account tenant entirety', 'responding garnishment legal', 'garnishment legal process', 'responding garnishment', 'garnishment legal']"
37,6,"If you establish your account payable on death to one or more bene ﬁciaries, the account is a “POD” account. If we receive proof you’ve died, we will pay the balance of ","establish account payable death one bene ﬁciaries , account “ POD ” account . receive proof ’ died , pay balance","['account payable death', 'died pay balance', 'payable death bene', 'proof died pay', 'establish account payable', 'bene ﬁciaries account', 'ﬁciaries account pod', 'payable death', 'ﬁciaries account', 'died pay']"
38,6,the account to the bene ﬁciary or bene ﬁciaries you designated. Multiple bene ﬁciaries will be paid in equal shares unless the signature card provides otherwise. We do ,account bene ﬁciary bene ﬁciaries designated . Multiple bene ﬁciaries paid equal share unless signature card provides otherwise .,"['account bene ﬁciary', 'designated multiple bene', 'multiple bene ﬁciaries', 'bene ﬁciaries designated', 'bene ﬁciaries paid', 'ﬁciary bene ﬁciaries', 'multiple bene', 'account bene', 'ﬁciary bene', 'ﬁciaries designated multiple']"
39,6,not offer POD accounts in all states. 4. “In trust for” (informal trust) account,offer POD account state . 4 . “ trust ” ( informal trust ) account,"['pod account state', 'offer pod account', 'pod account', 'informal trust account', 'trust account', 'state trust informal', 'account state trust', 'trust informal', 'informal trust', 'trust informal trust']"
40,6,"If you establish your account as in trust for (“ITF”) or as trustee for one or more bene ﬁciaries without presenting formal trust documents, we may treat the account as ","establish account trust ( “ ITF ” ) trustee one bene ﬁciaries without presenting formal trust document , may treat account","['account trust itf', 'trust itf trustee', 'establish account trust', 'itf trustee bene', 'formal trust', 'formal trust document', 'trust document', 'account trust', 'trustee bene ﬁciaries', 'itf trustee']"
41,6,"an “ITF” account. If we receive proof you’ve died, we will pay the balance of the account to the bene ﬁciary or bene ﬁciaries you designated. Multiple bene ﬁciaries will be ","“ ITF ” account . receive proof ’ died , pay balance account bene ﬁciary bene ﬁciaries designated . Multiple bene ﬁciaries","['account bene ﬁciary', 'itf account', 'itf account receive', 'balance account bene', 'bene ﬁciaries designated', 'designated multiple bene', 'account bene', 'multiple bene ﬁciaries', 'ﬁciary bene ﬁciaries', 'died pay balance']"
42,6,paid in equal shares unless the signature card provides otherwise. We do not offer ITF accounts in all states.5. Convenience account,paid equal share unless signature card provides otherwise . offer ITF account states.5 . Convenience account,"['itf account', 'offer itf account', 'itf account states', 'provides offer itf', 'offer itf', 'paid equal share', 'card provides offer', 'itf', 'card provides', 'states convenience account']"
43,6,"If you have a convenience account, you are its sole owner, but you authorize an additional signer to write checks or authorize other transactions. You are solely responsible for the actions of the additional signer (legacy accounts only). 6. Power of attorney","convenience account , sole owner , authorize additional signer write check authorize transaction . solely responsible action additional signer ( legacy account ) . 6 . Power attorney","['account power attorney', 'convenience account sole', 'additional signer write', 'additional signer', 'power attorney', 'sole owner authorize', 'authorize additional signer', 'write check authorize', 'action additional signer', 'account power']"
44,6,"A power of attorney is a document you sign that authorizes someone else, called the agent, to act on your behalf. If you sign a power of attorney, the agent can sign on your behalf and do anything you could do regarding the account, including withdrawing or spending all of the money in the account. Do not sign a power of attorney unless you trust the agent to act in your best interest. If you choose to add an agent, you must provide a power of attorney form that we agree to accept. We may rely on a copy of an original power of attorney. We are not required to investigate the facts relating to any power of attorney provided to us on your behalf, including whether your signature on the power of attorney is authentic or whether the agent continues to have authority. We may follow or refuse to follow the agent’s instructions at any time, including if we suspect fraud or abuse on your account, unless state law requires otherwise. We may also refuse an agent’s request to become a joint owner or ","power attorney document sign authorizes someone else , called agent , act behalf . sign power attorney , agent sign behalf anything could regarding account , including withdrawing spending money account . sign power attorney unless trust agent act best interest . choose add agent , must provide power attorney form agree accept . may rely copy original power attorney . required investigate fact relating power attorney provided u behalf , including whether signature power attorney authentic whether agent continues authority . may follow refuse follow agent ’ instruction time , including suspect fraud abuse account , unless state law requires otherwise . may also refuse agent ’ request become joint owner","['provide power attorney', 'power attorney required', 'relating power attorney', 'sign power attorney', 'power attorney', 'power attorney document', 'power attorney form', 'power attorney provided', 'signature power attorney', 'power attorney agent']"
45,6,"a bene ﬁciary of an account, but we have no liability to anyone if we do so. We have no liability when we follow or refuse to follow any instructions from an agent, for ","bene ﬁciary account , liability anyone . liability follow refuse follow instruction agent ,","['ﬁciary account liability', 'account liability liability', 'liability follow refuse', 'liability liability follow', 'account liability', 'liability follow', 'liability liability', 'bene ﬁciary account', 'liability', 'ﬁciary account']"
46,6,"example, if your agent misuses the authority you have given them. An agent’s power of attorney on an account is terminated when the account owner dies. 7. Supported decision-making agreement","example , agent misuse authority given . agent ’ power attorney account terminated account owner dy . 7 . Supported decision-making agreement","['agent misuse authority', 'agent power attorney', 'agent misuse', 'authority given agent', 'power attorney', 'power attorney account', 'attorney account terminated', 'given agent power', 'misuse authority given', 'misuse authority']"
47,6,"In certain states you can name a supporter to assist you in understanding the information, responsibilities and consequences of your ﬁnancial decisions. This is done ","certain state name supporter assist understanding information , responsibility consequence ﬁnancial decision . done","['state supporter assist', 'certain state supporter', 'state supporter', 'certain state', 'state', 'information responsibility', 'information responsibility consequence', 'understanding information responsibility', 'assist understanding information', 'responsibility consequence ﬁnancial']"
48,6,"through a supported decision-making agreement, which is an agreement between you and a supporter that is entered into so the supporter can assist with gathering ","supported decision-making agreement , agreement supporter entered supporter assist gathering","['agreement agreement supporter', 'agreement supporter entered', 'agreement supporter', 'supporter assist gathering', 'supported decision', 'entered supporter assist', 'decision making agreement', 'supporter assist', 'supported decision making', 'assist gathering']"
49,6,"information for you to make decisions about your account. A supporter is a person that is named by you in a supported decision-making agreement. A supporter may not transact on your account; however, a supporter may ","information make decision account . supporter person named supported decision-making agreement . supporter may transact account ; however , supporter may","['decision account supporter', 'decision account', 'supporter transact account', 'agreement supporter transact', 'make decision account', 'supporter transact', 'supported decision', 'transact account supporter', 'account supporter person', 'decision making agreement']"
50,6,"request and be provided with account information, such as statements or copies of checks. A supporter may also communicate decisions made by you. Return to Table of Contents","request provided account information , statement copy check . supporter may also communicate decision made . Return Table Contents","['provided account information', 'account information statement', 'account information', 'provided account', 'supporter communicate decision', 'request provided account', 'check supporter communicate', 'check supporter', 'decision return table', 'information statement']"
51,7,Effective 10/15/20238. Uniform Transfers to Minors Act/Uniform Gifts to Minors Act (UTMA/UGMA) account,Effective 10/15/20238 . Uniform Transfers Minors Act/Uniform Gifts Minors Act ( UTMA/UGMA ) account,"['minors act utma', 'utma ugma account', 'ugma account', 'act utma ugma', 'utma ugma', 'act utma', 'utma', 'transfers minors act', 'uniform transfers minors', 'ugma']"
52,7,"The designated minor is the owner of the funds in the account; including any funds transferred into the account are irrevocably owned by the minor. UTMA/UGMA accounts can’t be pledged as collateral for a personal loan to you, nor can checks be cashed against it. If you are the custodian or successor custodian of an account under a state’s UTMA/UGMA, you agree to manage and use the account in accordance with your ","designated minor owner fund account ; including fund transferred account irrevocably owned minor . UTMA/UGMA account ’ pledged collateral personal loan , check cashed . custodian successor custodian account state ’ UTMA/UGMA , agree manage use account accordance","['minor owner fund', 'designated minor owner', 'owned minor utma', 'cashed custodian successor', 'successor custodian account', 'custodian account', 'owner fund account', 'irrevocably owned minor', 'cashed custodian', 'owned minor']"
53,7,"obligations under applicable state law, including: • Using the account for the exclusive use and bene ﬁt of the minor, and","obligation applicable state law , including : • Using account exclusive use bene ﬁt minor ,","['obligation applicable state', 'account exclusive use', 'applicable state law', 'state law including', 'obligation applicable', 'using account exclusive', 'law including using', 'account exclusive', 'state law', 'exclusive use']"
54,7,• Transferring assets to the bene ﬁciary at the age when the UTMA/UGMA terminates,• Transferring asset bene ﬁciary age UTMA/UGMA terminates,"['transferring asset bene', 'transferring asset', 'utma ugma terminates', 'asset bene ﬁciary', 'ugma terminates', 'age utma ugma', 'utma ugma', 'age utma', 'ﬁciary age utma', 'asset bene']"
55,7,"It is your responsibility as custodian to consult your own legal or tax advisor about the governing state law. At our sole discretion we may limit transactions on the account if you fail to transfer funds to the bene ﬁciary as required by applicable law. You agree, on your ","responsibility custodian consult legal tax advisor governing state law . sole discretion may limit transaction account fail transfer fund bene ﬁciary required applicable law . agree ,","['transfer fund', 'responsibility custodian consult', 'fail transfer fund', 'transfer fund bene', 'custodian consult legal', 'account fail transfer', 'consult legal tax', 'transaction account', 'responsibility custodian', 'tax advisor governing']"
56,7,"own behalf and on behalf of the minor, to indemnify and hold us harmless from any and all liability, including from any claim by the bene ﬁciary, for following any ","behalf behalf minor , indemnify hold u harmless liability , including claim bene ﬁciary , following","['behalf minor indemnify', 'behalf behalf minor', 'liability including claim', 'behalf minor', 'harmless liability including', 'indemnify hold harmless', 'minor indemnify', 'harmless liability', 'minor indemnify hold', 'hold harmless liability']"
57,7,instructions with respect to the account. 9. Representative payee/VA custodian account,instruction respect account . 9 . Representative payee/VA custodian account,"['va custodian account', 'payee va custodian', 'custodian account', 'instruction respect account', 'account representative payee', 'va custodian', 'representative payee va', 'respect account representative', 'account representative', 'representative payee']"
58,7,"If you open an account as a “representative payee” for someone who receives Social Security payments, or as a legal custodian, spouse payee or other custodian for someone who receives Veterans Administration payments, you agree not to permit any deposits to the account other than the designated payments. We are not ","open account “ representative payee ” someone receives Social Security payment , legal custodian , spouse payee custodian someone receives Veterans Administration payment , agree permit deposit account designated payment .","['account representative payee', 'deposit account designated', 'payee custodian', 'account designated payment', 'permit deposit account', 'payee custodian receives', 'open account representative', 'account representative', 'representative payee', 'payment legal custodian']"
59,7,required to determine whether you deposit other funds or whether any debits from the account are for the support of the person for whose bene ﬁt the funds are ,required determine whether deposit fund whether debit account support person whose bene ﬁt fund,"['fund debit account', 'determine deposit fund', 'deposit fund debit', 'required determine deposit', 'fund debit', 'deposit fund', 'debit account support', 'support person bene', 'debit account', 'bene ﬁt fund']"
60,7,"paid. This person is called the bene ﬁciary. If the bene ﬁciary dies, you must promptly notify us and stop all further deposits to and withdrawals from the account. If the ","paid . person called bene ﬁciary . bene ﬁciary dy , must promptly notify u stop deposit withdrawal account .","['deposit withdrawal', 'deposit withdrawal account', 'stop deposit withdrawal', 'stop deposit', 'withdrawal account', 'deposit', 'paid person called', 'called bene ﬁciary', 'ﬁciary bene', 'ﬁciary bene ﬁciary']"
61,7,"government demands that we return deposits made after the bene ﬁciary’s death and the account does not have enough funds to pay the demand, we may take the ","government demand return deposit made bene ﬁciary ’ death account enough fund pay demand , may take","['deposit bene ﬁciary', 'demand return deposit', 'ﬁciary death account', 'death account fund', 'return deposit bene', 'deposit bene', 'fund pay demand', 'government demand return', 'account fund pay', 'fund pay']"
